Total_Bsmt_SF,Gr_Liv_Area,Garage_Area,Year_Built,Year_Remod/Add,Mas_Vnr_Area,Full_Bath,BsmtFin_SF_1,Overall_Qual,Exter_Qual,Bsmt_Qual,Kitchen_Qual,Fireplace_Qu,Garage_Finish,Bsmt_Exposure,Heating_QC,MS_SubClass,Foundation,Garage_Type,Neighborhood_High,Neighborhood_Low,SalePrice
990.0,990,384.0,1994,1994,0.0,1,420.0,5.0,0,2,0,0,1,0,2,1,1,0,0,0,146000
1256.0,1256,276.0,1965,1965,0.0,1,830.0,5.0,1,1,0,0,3,0,1,1,0,1,0,1,147500
2076.0,2076,850.0,2006,2006,0.0,2,1386.0,9.214285714285714,1,3,2,3,3,3,2,1,1,1,1,0,465000
1097.0,1110,602.0,1978,1978,104.0,1,1097.0,5.0,0,2,1,2,3,2,2,0,1,1,0,0,165500
1050.0,1795,352.0,1954,1954,335.0,2,0.0,5.0,0,1,0,0,1,0,2,0,0,1,0,1,131500
1040.0,1040,384.0,1965,1965,0.0,1,906.0,5.0,0,1,0,0,1,0,2,1,0,0,0,0,129500
608.0,1873,786.0,1935,1950,40.0,1,210.0,8.0,0,1,0,3,3,0,0,0,1,0,0,0,257076
984.0,1604,660.0,1941,1960,0.0,2,408.0,5.0,0,1,0,0,1,0,2,0,0,0,0,1,117000
776.0,1502,270.0,1931,2000,0.0,1,0.0,7.0,0,2,0,3,2,0,0,0,0,1,0,0,149000
1056.0,1063,280.0,1954,1954,110.0,1,354.0,5.0,0,1,0,0,2,0,0,1,0,1,0,0,128000
764.0,1626,474.0,2003,2004,106.0,2,0.0,7.0,1,2,1,0,2,0,2,0,1,1,1,0,155000
756.0,1524,440.0,2000,2000,513.0,2,353.0,6.0,1,2,1,0,1,0,2,0,1,0,0,0,166000
1122.0,1981,576.0,1928,1950,0.0,2,622.0,3.705,0,1,1,2,1,0,0,0,0,0,0,0,135000
1392.0,2784,564.0,1978,1978,184.0,3,790.0,7.0,0,2,1,2,2,0,0,1,0,1,0,0,250000
546.0,1092,0.0,1970,1970,0.0,1,176.0,3.705,0,1,0,0,0,0,2,0,0,0,0,1,76000
216.0,1575,400.0,1951,1951,522.0,1,0.0,6.0,0,1,1,3,1,0,0,1,0,1,0,0,155000
663.0,1352,299.0,1969,1969,143.0,1,371.0,6.0,0,1,0,0,3,0,0,1,0,1,0,0,158000
600.0,1200,480.0,2004,2005,0.0,2,368.0,7.0,1,2,1,0,2,0,2,0,1,0,0,0,149500
936.0,936,240.0,1954,1975,0.0,1,486.0,5.0,0,1,0,0,1,0,0,1,0,1,0,0,121000
1040.0,1040,293.0,1953,1953,0.0,1,85.0,6.0,0,1,0,0,3,0,0,1,0,1,0,0,136000
916.0,1636,386.0,1996,1996,0.0,2,138.0,6.0,0,2,0,2,3,0,1,1,1,1,0,0,173000
1152.0,2270,671.0,1999,2007,348.0,2,524.0,8.0,1,2,1,3,3,0,2,1,1,1,0,0,290000
1184.0,2610,550.0,2007,2007,0.0,2,64.0,8.0,1,2,2,3,3,2,2,1,1,1,0,0,303477
1420.0,1483,690.0,1977,2001,0.0,1,1092.0,7.0,1,2,0,2,2,3,1,1,0,1,0,0,270000
936.0,1740,225.0,1920,1950,0.0,1,360.0,5.0,0,1,2,3,1,0,1,0,0,0,0,1,122250
1382.0,1382,350.0,1955,1955,0.0,1,172.0,5.0,0,1,1,0,1,0,1,1,0,1,0,0,153000
1120.0,1120,0.0,2007,2007,0.0,1,206.0,5.0,0,2,0,0,0,0,2,1,1,0,0,0,147000
531.0,1098,216.0,1930,1995,0.0,1,246.0,7.0,0,2,0,3,1,0,0,0,0,0,0,0,148500
976.0,1708,380.0,2004,2004,117.0,2,0.0,7.0,1,2,1,0,1,0,2,0,1,0,0,1,130000
1802.0,1802,843.0,2006,2006,510.0,2,0.0,9.214285714285714,1,3,2,3,3,3,2,1,1,1,1,0,372000
1362.0,1506,440.0,2005,2005,145.0,2,16.0,7.0,1,2,1,3,3,3,2,1,1,1,0,0,213490
1508.0,1508,572.0,2009,2010,96.0,1,1346.0,7.0,1,2,1,2,2,3,2,1,1,1,0,1,308030
1840.0,2032,786.0,1996,1997,668.0,3,700.0,7.0,1,3,1,0,3,1,2,1,1,1,0,0,300000
655.0,1194,539.0,1959,1959,0.0,1,655.0,6.0,0,1,0,1,3,1,2,1,0,1,0,0,159500
970.0,1709,380.0,2004,2004,50.0,2,0.0,7.0,1,2,1,0,1,0,2,0,1,0,0,1,137500
1616.0,1616,834.0,2005,2005,228.0,2,0.0,7.0,1,2,1,0,2,2,2,1,1,1,0,0,232000
768.0,768,440.0,1930,1950,0.0,1,0.0,6.0,1,1,0,0,1,0,0,0,0,0,0,1,93850
872.0,872,322.0,1924,1950,65.0,1,0.0,5.0,0,1,0,3,1,0,0,0,0,0,0,0,105000
520.0,520,240.0,1927,1950,0.0,1,0.0,3.705,0,1,0,0,1,0,0,0,0,0,0,1,68500
1105.0,2274,480.0,1960,1960,361.0,2,443.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,154300
936.0,1601,0.0,1925,2003,0.0,2,0.0,5.0,1,1,0,0,0,0,2,0,0,0,0,1,129850
616.0,1232,480.0,1910,1950,0.0,1,168.0,5.0,0,1,0,0,1,0,2,0,0,0,0,1,114000
2216.0,2234,1166.0,2008,2009,748.0,2,1904.0,9.214285714285714,1,3,2,3,3,0,2,1,1,1,1,0,501837
876.0,1416,720.0,1915,1950,0.0,1,0.0,5.0,0,1,0,3,1,1,1,0,0,0,0,1,153900
864.0,864,576.0,1971,2006,0.0,1,240.0,3.705,0,1,0,0,1,0,1,1,0,0,0,0,130000
1189.0,1189,392.0,1997,1997,197.0,2,864.0,6.0,0,3,0,0,2,0,2,1,1,1,0,0,160500
1666.0,1666,575.0,2006,2006,572.0,2,415.0,9.214285714285714,1,3,1,3,2,0,2,1,1,1,1,0,310090
1176.0,1200,555.0,2003,2003,0.0,2,833.0,7.0,1,2,1,0,2,0,2,1,1,1,0,0,184900
928.0,928,252.0,1956,2000,0.0,1,377.0,5.0,0,2,0,0,1,0,0,1,0,1,0,0,132000
1288.0,1336,502.0,1969,1969,128.0,2,553.0,5.0,0,2,0,1,2,1,0,1,0,1,0,0,163000
600.0,1200,480.0,2004,2004,120.0,2,280.0,7.0,1,2,1,0,2,2,2,0,1,0,0,0,155000
1427.0,1427,516.0,1969,1969,0.0,2,828.0,6.0,0,1,0,0,2,2,1,0,0,1,0,0,183000
860.0,1992,608.0,1996,2002,254.0,2,762.0,7.0,1,2,1,2,2,1,2,1,1,1,0,0,211000
754.0,1540,495.0,1994,1994,0.0,2,36.0,7.0,1,2,1,0,2,0,2,1,1,1,0,0,184000
0.0,1535,400.0,1979,1979,0.0,2,0.0,5.0,0,0,0,0,1,0,0,0,0,1,0,0,118858
1152.0,1152,484.0,1964,1964,86.0,1,1014.0,5.0,0,1,0,3,2,2,0,0,1,1,0,0,180500
1141.0,1151,484.0,2006,2007,30.0,2,60.0,8.0,1,2,1,0,3,0,2,1,1,1,0,0,166000
1138.0,1138,480.0,1960,1960,54.0,1,588.0,6.0,0,1,0,2,2,2,2,0,0,1,0,0,148000
894.0,1074,396.0,1956,1956,0.0,1,438.0,5.0,0,1,1,3,1,0,1,1,0,0,0,0,124000
1561.0,1561,556.0,2005,2005,246.0,2,1153.0,9.214285714285714,1,3,2,3,3,0,2,1,1,1,1,0,277500
1342.0,2726,725.0,1995,1995,397.0,2,527.0,8.0,1,2,1,3,2,0,2,1,1,1,0,0,350000
1884.0,1884,670.0,2004,2004,296.0,2,1337.0,9.214285714285714,1,3,2,3,3,3,2,1,1,1,1,0,387000
528.0,605,0.0,1920,2002,0.0,1,348.0,3.705,0,1,0,0,0,1,2,0,0,0,0,1,86000
1426.0,1671,550.0,1976,2007,0.0,3,1044.0,8.0,1,2,2,3,2,1,2,1,0,1,0,0,290000
245.0,797,0.0,1900,1950,0.0,1,0.0,3.705,0,0,0,0,0,0,0,0,0,0,0,1,44000
804.0,1961,560.0,2001,2002,0.0,2,690.0,6.0,0,3,1,2,3,0,2,1,1,1,0,0,215000
1153.0,1193,501.0,1972,1972,144.0,2,962.0,5.0,0,2,0,0,3,0,2,0,0,1,0,0,146500
673.0,1382,490.0,2000,2000,0.0,2,641.0,7.0,1,2,1,0,1,0,2,0,1,0,0,0,165000
714.0,2526,216.0,1916,1950,0.0,2,168.0,6.0,0,1,1,3,1,0,0,0,0,0,0,1,136000
1705.0,1390,550.0,1957,1957,902.0,1,1110.0,6.0,0,2,2,3,1,3,2,1,0,1,0,0,252000
764.0,1626,474.0,2003,2003,106.0,2,0.0,7.0,1,2,1,0,2,0,2,0,1,1,1,0,175500
690.0,1558,400.0,1939,1950,0.0,1,421.0,5.0,0,1,0,3,1,0,0,0,0,0,0,1,150000
978.0,1422,286.0,1960,1978,0.0,1,0.0,5.0,0,1,0,2,2,0,0,1,0,1,0,0,139900
1078.0,1573,360.0,1930,1992,0.0,2,0.0,5.0,0,1,0,3,1,0,0,0,1,0,0,1,162900
1116.0,1116,440.0,1962,1962,261.0,1,0.0,6.0,0,1,0,0,1,0,0,1,0,1,0,0,160000
0.0,660,0.0,1947,1950,0.0,1,0.0,3.705,0,0,0,0,0,0,0,1,0,0,0,0,63900
1140.0,1707,479.0,1978,1998,144.0,2,832.0,6.0,0,1,0,2,3,0,1,1,1,1,0,0,184000
1466.0,1466,528.0,1959,1959,132.0,1,176.0,5.0,0,1,0,3,3,0,0,1,0,1,0,1,149900
1614.0,1638,495.0,2000,2000,260.0,2,1027.0,9.214285714285714,1,2,2,2,3,2,2,1,1,1,0,0,300000
988.0,1721,626.0,1960,1960,275.0,2,988.0,5.0,0,1,0,2,1,1,1,0,0,0,0,0,145000
928.0,1764,470.0,1997,1997,0.0,2,821.0,6.0,0,2,1,0,2,0,2,1,1,1,0,0,231500
996.0,996,0.0,1940,1969,0.0,1,290.0,5.0,0,1,0,3,0,0,2,0,0,0,0,1,108000
1202.0,1202,304.0,1956,1956,0.0,1,435.0,5.0,0,1,0,0,2,0,0,1,0,1,0,0,120000
988.0,988,572.0,1961,1961,57.0,1,827.0,5.0,0,1,0,0,1,0,0,1,0,0,0,0,128500
1008.0,1028,360.0,1927,1950,0.0,1,0.0,5.0,0,1,0,3,1,0,1,0,0,0,0,1,115000
720.0,1284,240.0,1947,1950,0.0,1,312.0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,110000
994.0,2944,864.0,1977,1977,1050.0,2,410.0,9.214285714285714,1,2,1,3,2,0,0,1,0,1,0,0,150000
707.0,1414,403.0,2004,2004,0.0,2,0.0,8.0,1,3,1,3,3,2,2,1,1,1,0,0,178000
637.0,1609,579.0,1932,1990,0.0,1,0.0,7.0,0,1,1,3,1,0,2,0,0,0,0,0,199500
813.0,1525,400.0,1997,1998,0.0,2,700.0,6.0,0,1,0,2,3,0,2,1,1,1,0,0,183500
624.0,1656,288.0,1967,1967,0.0,1,257.0,5.0,0,2,0,1,1,1,2,0,0,1,0,1,126000
1055.0,1055,440.0,1977,1977,0.0,2,378.0,7.0,0,2,0,0,1,0,0,1,0,1,0,0,148500
676.0,1352,720.0,1939,2006,0.0,2,0.0,5.0,0,1,1,0,1,0,2,1,0,0,0,1,149000
855.0,1456,440.0,1977,1977,0.0,2,389.0,6.0,0,2,0,2,1,0,0,0,0,1,0,0,137900
1719.0,1719,473.0,1993,1993,0.0,1,1619.0,8.0,1,2,1,3,3,3,2,1,1,1,0,0,324000
864.0,864,0.0,1925,1950,0.0,1,468.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,98000
483.0,987,264.0,1973,1973,359.0,1,458.0,6.0,0,1,0,0,1,0,0,0,0,0,0,1,103400
780.0,1020,0.0,1875,1996,0.0,1,0.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,94000
1554.0,1554,627.0,2006,2006,108.0,2,24.0,8.0,1,2,1,3,2,1,2,1,1,1,1,0,209500
1528.0,3390,758.0,2006,2006,662.0,3,0.0,9.214285714285714,1,3,2,3,3,3,2,1,1,1,1,0,545224
780.0,1560,0.0,1912,2009,0.0,1,0.0,6.0,1,1,1,0,0,0,2,0,1,0,0,1,159900
864.0,864,400.0,1951,1951,0.0,1,120.0,3.705,0,1,0,0,1,0,2,1,0,0,0,0,141000
982.0,1889,431.0,2000,2000,0.0,2,732.0,6.0,0,2,0,2,3,0,2,1,1,1,0,0,215000
1040.0,1040,260.0,1962,2010,0.0,1,659.0,5.0,0,1,0,0,1,0,2,1,0,0,0,0,127000
1172.0,1172,366.0,1954,1998,0.0,1,954.0,5.0,0,1,0,0,3,2,0,1,0,1,0,1,128000
1642.0,1418,852.0,2010,2010,0.0,1,1032.0,8.0,1,3,1,3,2,0,2,1,1,1,0,0,267916
884.0,1367,560.0,1931,1950,0.0,1,425.0,6.0,0,1,0,3,1,0,0,0,0,0,0,1,127500
0.0,1922,672.0,2003,2003,500.0,3,0.0,7.0,1,0,1,3,2,0,2,0,0,1,0,1,198500
1422.0,1422,576.0,1981,1981,210.0,2,588.0,6.0,0,2,1,2,3,0,0,1,0,1,0,0,175500
985.0,1842,486.0,2000,2000,144.0,2,841.0,7.0,1,2,1,2,3,0,2,1,1,1,0,0,217500
888.0,1962,572.0,1915,1950,0.0,1,0.0,3.705,0,1,0,2,1,0,2,0,0,0,0,1,149500
864.0,1120,656.0,1966,2004,165.0,1,644.0,5.0,1,1,0,2,2,0,2,1,1,1,0,0,148800
1992.0,2868,716.0,2005,2006,208.0,3,240.0,9.214285714285714,1,3,2,3,3,2,2,1,1,1,1,0,556581
1478.0,1478,442.0,1957,1957,0.0,1,189.0,6.0,0,1,0,3,2,0,1,1,0,1,0,0,156500
930.0,1995,610.0,1995,1996,0.0,2,685.0,7.0,1,2,1,2,2,2,2,1,1,1,0,0,237000
912.0,912,297.0,1958,1985,0.0,1,111.0,5.0,0,1,0,0,3,0,0,1,0,1,0,0,120000
1326.0,1326,388.0,2005,2005,0.0,2,918.0,6.0,0,2,1,0,3,2,2,1,1,1,0,0,203000
1191.0,1204,461.0,1987,1987,0.0,2,0.0,8.0,0,2,0,0,2,0,0,1,0,1,1,0,130000
780.0,1611,442.0,1964,1964,360.0,1,674.0,6.0,0,1,0,0,2,3,0,1,0,1,0,0,167900
960.0,960,576.0,1970,1970,160.0,1,789.0,3.705,0,1,0,0,1,2,0,0,0,0,0,1,129000
1070.0,1236,447.0,1957,1996,64.0,1,360.0,5.0,0,1,1,1,1,0,0,1,0,1,0,0,134450
816.0,1416,576.0,1918,2007,0.0,2,0.0,5.0,0,1,1,0,1,0,2,0,0,1,0,0,112000
929.0,1873,619.0,1988,1988,360.0,2,608.0,7.0,1,2,1,2,2,0,2,1,1,1,0,0,207000
1040.0,2128,0.0,1922,1950,0.0,2,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,62500
764.0,1626,474.0,2003,2004,106.0,2,573.0,7.0,1,2,1,0,2,0,2,0,1,1,1,0,154000
816.0,816,308.0,1957,1957,0.0,1,708.0,5.0,0,1,0,0,1,0,0,1,0,0,0,0,129900
536.0,1112,336.0,1976,1976,0.0,1,129.0,5.0,0,2,0,0,1,0,0,0,0,1,0,1,85000
572.0,1111,288.0,1926,1950,0.0,1,0.0,7.0,0,1,0,3,1,0,0,0,1,0,0,1,116900
855.0,1441,440.0,1978,1978,0.0,2,311.0,6.0,0,1,0,2,1,0,0,0,0,1,0,0,148500
672.0,924,280.0,1941,1950,0.0,1,348.0,3.705,0,2,0,0,1,0,0,0,0,0,0,1,80000
1060.0,1126,506.0,1984,1984,0.0,1,104.0,5.0,0,2,0,0,1,2,0,0,1,1,0,0,152000
381.0,992,319.0,1954,1954,0.0,1,0.0,5.0,0,0,0,0,1,0,2,1,0,0,0,1,155891
768.0,1376,576.0,1920,1950,0.0,1,0.0,6.0,0,1,1,0,1,0,2,0,1,0,0,1,165000
1218.0,1218,676.0,2009,2010,0.0,2,0.0,7.0,1,2,1,0,2,0,2,1,1,1,0,0,204500
728.0,1644,312.0,1942,1995,224.0,1,386.0,5.0,0,1,1,3,1,0,2,0,0,1,0,0,146500
1271.0,1601,478.0,1978,1978,206.0,2,704.0,7.0,0,2,0,2,2,0,0,1,0,1,0,0,157000
1313.0,2495,342.0,1890,1999,0.0,2,0.0,7.0,0,1,0,3,1,1,1,0,0,0,0,1,184000
783.0,1509,393.0,2002,2003,0.0,2,457.0,6.0,1,2,1,3,3,0,2,1,1,1,0,0,183200
1092.0,1092,288.0,1962,1962,116.0,1,170.0,5.0,0,1,0,1,1,0,0,1,0,1,0,0,139000
1311.0,2418,983.0,1993,1994,651.0,2,1173.0,7.0,1,2,1,2,2,3,2,1,1,1,0,0,341000
483.0,987,264.0,1971,1971,504.0,1,156.0,6.0,0,1,0,0,1,0,0,0,0,0,0,1,96000
1121.0,1121,440.0,2003,2004,0.0,2,0.0,3.705,0,2,0,0,2,0,2,1,1,1,0,1,140000
912.0,1236,923.0,1957,1996,0.0,1,600.0,6.0,0,1,0,0,1,0,0,1,0,1,0,1,149700
1056.0,1074,495.0,1975,1975,0.0,1,788.0,5.0,0,2,0,0,2,0,2,1,0,1,0,0,153500
0.0,733,487.0,1952,1952,0.0,1,0.0,3.705,0,0,0,0,1,0,0,1,0,1,0,1,13100
884.0,1768,543.0,2003,2003,252.0,2,550.0,7.0,1,2,1,0,2,0,2,1,1,1,0,0,224900
1257.0,1266,453.0,2005,2005,0.0,2,0.0,7.0,1,2,1,2,1,0,2,1,1,1,0,0,176000
1683.0,2872,541.0,1992,2000,337.0,2,700.0,8.0,1,2,1,2,3,0,2,0,1,1,0,0,285000
1485.0,1464,754.0,2007,2007,84.0,2,929.0,8.0,1,2,1,0,1,3,2,1,1,1,0,0,282922
924.0,2157,487.0,1966,1966,309.0,2,445.0,7.0,0,1,1,3,3,0,2,1,0,1,0,0,226000
1234.0,2576,666.0,2006,2006,466.0,2,0.0,8.0,1,3,2,3,3,0,2,1,1,1,1,0,361919
1398.0,2798,670.0,2005,2006,600.0,3,1218.0,9.214285714285714,1,3,2,3,3,3,2,1,1,1,1,0,457347
966.0,1743,529.0,1976,1976,0.0,0,51.0,8.0,1,2,1,1,3,3,2,1,0,1,0,0,279000
1567.0,1567,714.0,1977,1977,0.0,2,1567.0,6.0,0,1,1,2,2,3,0,1,1,1,0,0,196000
1090.0,1370,479.0,1976,1976,189.0,2,0.0,7.0,0,2,0,2,2,0,0,1,0,1,0,0,152000
1248.0,2634,968.0,1969,1969,368.0,2,500.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,200000
1570.0,1590,754.0,2005,2006,198.0,2,1122.0,8.0,1,3,2,0,3,3,2,1,1,1,0,0,294900
1450.0,1450,788.0,2008,2009,140.0,2,0.0,7.0,1,2,1,0,2,0,2,1,1,1,0,0,224243
832.0,1338,528.0,1915,1950,0.0,2,0.0,6.0,0,0,0,0,1,0,0,0,0,0,0,1,92000
728.0,1456,400.0,2007,2007,0.0,2,0.0,7.0,1,2,1,3,3,2,2,1,1,1,0,0,179540
2392.0,2392,968.0,2003,2003,922.0,2,56.0,9.214285714285714,1,3,2,3,3,3,2,1,1,1,1,0,386250
530.0,992,297.0,1970,1970,0.0,1,503.0,3.705,0,2,0,0,3,2,0,0,0,1,0,1,106500
1017.0,2007,812.0,2008,2008,160.0,2,765.0,9.214285714285714,1,3,2,3,3,2,2,1,1,1,0,0,310000
1066.0,2385,600.0,1998,1998,275.0,2,0.0,7.0,1,2,1,2,3,0,2,1,1,1,0,0,252000
918.0,1646,240.0,1941,1950,0.0,2,364.0,7.0,0,1,0,3,1,0,1,0,0,0,0,0,164000
728.0,1456,400.0,2007,2007,16.0,2,0.0,7.0,1,2,1,0,3,0,2,1,1,1,0,0,177594
528.0,1040,624.0,1936,1980,0.0,1,276.0,5.0,0,1,0,0,3,0,1,0,0,0,0,1,123900
1370.0,2624,864.0,1918,1950,0.0,2,1128.0,6.0,0,2,0,3,1,0,0,0,0,0,0,0,239000
1068.0,1264,528.0,1965,1977,0.0,1,42.0,5.0,0,1,0,2,1,0,0,1,0,1,0,0,169000
1374.0,1557,420.0,2003,2004,18.0,2,0.0,7.0,1,2,1,2,3,3,2,1,1,1,0,0,234000
957.0,1287,541.0,1977,1977,0.0,1,841.0,6.0,0,2,0,1,2,2,0,0,0,1,0,0,173000
1004.0,1004,480.0,1970,1970,180.0,1,578.0,6.0,0,1,0,2,3,0,2,1,0,1,0,0,149000
1162.0,1162,483.0,2007,2007,0.0,2,0.0,7.0,1,2,1,0,3,1,2,1,1,1,0,0,170000
1436.0,1436,529.0,2008,2009,0.0,2,0.0,7.0,1,3,1,0,3,0,2,1,1,1,0,0,225000
960.0,960,300.0,1963,2003,0.0,1,634.0,5.0,0,1,1,0,3,0,2,1,0,1,0,0,144900
1196.0,1196,336.0,1968,1968,0.0,1,1070.0,5.0,0,2,0,0,2,3,0,1,0,1,0,1,144000
1256.0,1269,430.0,2004,2005,16.0,2,24.0,8.0,1,2,1,2,3,0,2,1,1,1,0,0,192000
1031.0,1031,230.0,1952,2005,0.0,1,931.0,5.0,1,1,1,0,1,0,1,1,0,1,0,0,145500
448.0,720,280.0,1900,1998,0.0,1,0.0,3.705,0,0,0,0,1,0,2,0,0,1,0,1,86900
1505.0,1505,505.0,1953,1953,90.0,1,1024.0,6.0,0,1,0,2,2,0,2,1,0,1,0,0,149500
920.0,954,240.0,1938,1950,0.0,1,0.0,5.0,0,0,0,3,1,0,2,0,1,0,0,0,119750
750.0,1500,564.0,2005,2006,0.0,2,0.0,6.0,0,2,1,0,2,0,2,1,1,1,0,0,173900
1050.0,1050,368.0,1961,1961,0.0,1,915.0,5.0,0,1,0,0,1,0,0,1,0,1,0,0,136500
2062.0,2687,618.0,1994,1994,0.0,2,0.0,8.0,1,2,1,0,3,0,2,0,1,1,1,0,270000
1602.0,1252,564.0,1960,1975,0.0,1,429.0,6.0,0,2,0,3,2,3,1,1,0,1,0,0,235000
384.0,1430,400.0,1999,2000,0.0,2,0.0,7.0,0,2,0,2,2,0,2,0,1,1,0,0,156000
1114.0,1114,576.0,2003,2004,0.0,2,836.0,5.0,0,2,1,0,1,0,2,1,1,0,0,0,153000
1224.0,1224,402.0,1999,1999,425.0,2,883.0,6.0,0,3,0,0,3,0,2,1,1,1,0,0,165000
1122.0,2504,656.0,2005,2007,245.0,2,0.0,9.214285714285714,1,2,2,3,3,0,2,1,1,1,1,0,325000
728.0,1355,528.0,1941,1950,0.0,2,533.0,5.0,0,1,0,0,1,0,2,0,0,0,0,0,140000
741.0,2294,658.0,1963,1963,234.0,3,375.0,6.0,0,1,0,3,1,0,0,0,0,1,0,1,202500
1702.0,1702,1052.0,2008,2008,766.0,1,1540.0,9.214285714285714,1,3,2,3,3,0,2,1,1,1,1,0,367294
